Math Score,Reading Score,Writing Score,Placement Score,Club Join Year,Placement,Offer Count,gender
95,81,93,85,23,98,99,female
83,79,64,97,23,66,97,female
100,96,70,86,23,84,69,female
88,83,100,81,23,79,79,female
73,72,96,62,23,64,64,female
63,76,,100,23,83,74,female
72,87,99,94,23,72,68,female
90,75,91,66,23,88,86,female
97,79,74,77,23,90,91,female
,60,77,70,23,81,69,Male
77,65,61,90,23,60,67,Male
75,94,88,91,23,90,71,Male
85,79,63,93,23,99,80,Male
80,79,100,,23,76,95,Male
81,81,88,61,23,91,84,Male
80,64,98,100,23,69,96,Male
66,85,94,84,23,60,62,Male
99,80,75,93,23,72,76,Male
85,,81,99,23,63,73,Male
76,99,89,84,23,97,87,Male
34,23,45,21,23,45,65,female
43,23,34,56,23,56,56,female
45,65,67,43,23,45,76,female
12,24,,10,23,56,87,female
23,21,43,54,23,54,23,female
11,12,13,11,23,,16,Male
13,14,54,44,23,77,65,Male
43,54,65,76,23,43,43,Male
43,44,54,65,23,11,12,Male
